table,col,term,coef,se,N,r2,se_type,formula,note
III,1,s_malariaindex,0.12342341058633483,0.014896808858118726,1226,0.15910034277804486,{'CRV1': 'cluster'},kinship_score ~ s_malariaindex,
III,2,s_malariaindex,0.09807746029275757,0.011949979128953594,1225,0.24244851354795838,{'CRV1': 'cluster'},kinship_score ~ small_scale + s_malariaindex,
III,3,s_malariaindex,0.03270241856671012,0.013140496618692576,1213,0.34442711431601924,{'CRV1': 'cluster'},kinship_score ~ small_scale + s_malariaindex + ln_time_obs_ea | cont,
III,4,s_malariaindex,0.031138701549609564,0.014984435171429633,504,0.03744880339526102,"cluster bootstrap(cluster, 500)",kinship_score ~ s_malariaindex,analytic CRV1 SE = 0.0131
III,5,s_malariaindex,0.029812882811941603,0.01206983046074615,504,0.11686145522398195,"cluster bootstrap(cluster, 500)",kinship_score ~ s_malariaindex + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0112
III,6,s_distance_mutation,-0.057577664371434724,0.024927276198428605,501,0.09926302924299069,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation,analytic CRV1 SE = 0.0175
III,7,s_distance_mutation,-0.053126280770229774,0.01644811137858339,501,0.1653057607433115,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0122
III,8,s_tsi,0.03500516120130776,0.007630900303900716,500,0.0383973412275489,"cluster bootstrap(cluster, 500)",kinship_score ~ s_tsi,analytic CRV1 SE = 0.0060
III,9,s_tsi,0.040996254099766476,0.006804715376220297,500,0.11033573518205819,"cluster bootstrap(cluster, 500)",kinship_score ~ s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0060
III,10,s_malariaindex,0.02547731028197837,0.012197569246626615,500,0.1358510834056751,"cluster bootstrap(cluster, 500)",kinship_score ~ s_malariaindex + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0109
III,10,s_tsi,0.03798424275656315,0.008214005042338057,500,0.1358510834056751,"cluster bootstrap(cluster, 500)",kinship_score ~ s_malariaindex + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0055
III,11,s_distance_mutation,-0.04125496240286313,0.018143688790135455,497,0.14672492583834829,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0127
III,11,s_tsi,0.019215051545841286,0.009277660494312124,497,0.14672492583834829,"cluster bootstrap(cluster, 500)",kinship_score ~ s_distance_mutation + s_tsi + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.0071
IV,1,kinship_score,1.2667125384600229,0.47663946711325916,61,0.09081385225696104,"cluster bootstrap(cluster, 500)",s_diff_violence ~ kinship_score + small_scale,analytic CRV1 SE = 0.4361
IV,2,kinship_score,1.1260991447234696,0.4808494923474872,61,0.17604280420979224,"cluster bootstrap(cluster, 500)",s_diff_violence ~ kinship_score + small_scale + ln_time_obs_ea,analytic CRV1 SE = 0.4423
IV,3,kinship_score,-0.7746122526884529,0.19086147057294048,776,0.17199939499700567,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale,
IV,4,kinship_score,-0.5043263291089216,0.131094042760036,767,0.45323352031739583,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | cont,
IV,4,s_have_god,0.2963895750102615,0.04592554508026854,767,0.45323352031739583,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | cont,
IV,5,kinship_score,-0.41225700147516714,0.14840572652080977,770,0.6864526019769299,{'CRV1': 'cluster'},s_moral_god ~ kinship_score + small_scale + s_have_god + ln_time_obs_ea | isonum,
